Date,Hour,Param,COUNT Param
2010-08-10,15,13,1342
2010-08-10,15,14,524
2010-08-10,15,15,754
2010-08-10,15,16,883
2010-08-10,15,17,212
2010-08-10,15,18,1831
2010-08-10,15,19,528
2010-08-10,15,2,1743
2010-08-10,15,20,1171
2010-08-10,15,21,436
2010-08-10,15,22,1055
2010-08-10,15,23,759
2010-08-10,15,24,400
2010-08-10,15,25,1838
2010-08-10,15,26,1148
2010-08-10,15,27,2409
2010-08-10,15,28,112
2010-08-10,15,29,853
2010-08-10,15,3,642
2010-08-10,15,30,984
2010-08-10,15,31,2177
2010-08-10,15,32,332
2010-08-10,15,4,1159
2010-08-10,15,5,529
2010-08-10,15,6,301
2010-08-10,15,7,113
2010-08-10,15,8,437
2010-08-10,15,9,352
2010-08-10,16,1,1036
2010-08-10,16,10,1270
2010-08-10,16,11,3550
2010-08-10,16,12,1043
2010-08-10,16,13,1713
2010-08-10,16,14,663
2010-08-10,16,15,1129
2010-08-10,16,16,1081
2010-08-10,16,17,287
2010-08-10,16,18,2447
2010-08-10,16,19,706
2010-08-10,16,2,2356
2010-08-10,16,20,1549
2010-08-10,16,21,506
2010-08-10,16,22,1388
2010-08-10,16,23,986
2010-08-10,16,24,624
2010-08-10,16,25,2312
2010-08-10,16,26,1478
2010-08-10,16,27,3494
2010-08-10,16,28,181
2010-08-10,16,29,1193
2010-08-10,16,3,870
2010-08-10,16,30,1401
2010-08-10,16,31,3111
2010-08-10,16,32,483
2010-08-10,16,4,1639
2010-08-10,16,5,666
2010-08-10,16,6,399
2010-08-10,16,7,210
2010-08-10,16,8,597
2010-08-10,16,9,485
2010-08-10,17,1,1306
2010-08-10,17,10,1539
2010-08-10,17,11,4482
2010-08-10,17,12,1201
2010-08-10,17,13,2021
2010-08-10,17,14,798
2010-08-10,17,15,1420
2010-08-10,17,16,1372
2010-08-10,17,17,338
2010-08-10,17,18,2988
2010-08-10,17,19,731
2010-08-10,17,2,2898
2010-08-10,17,20,1956
2010-08-10,17,21,683
2010-08-10,17,22,1754
2010-08-10,17,23,1333
2010-08-10,17,24,793
2010-08-10,17,25,2786
2010-08-10,17,26,1665
2010-08-10,17,27,4163
2010-08-10,17,28,214
2010-08-10,17,29,1318
2010-08-10,17,3,1066
2010-08-10,17,30,1641
2010-08-10,17,31,3785
2010-08-10,17,32,616
2010-08-10,17,4,2157
2010-08-10,17,5,781
2010-08-10,17,6,475
2010-08-10,17,7,248
2010-08-10,17,8,861
2010-08-10,17,9,614
2010-08-10,18,1,1485
2010-08-10,18,10,1647
2010-08-10,18,11,4706
2010-08-10,18,12,1406
2010-08-10,18,13,2205
2010-08-10,18,14,954
2010-08-10,18,15,1703
2010-08-10,18,16,1368
2010-08-10,18,17,338
2010-08-10,18,18,3329
2010-08-10,18,19,931
2010-08-10,18,2,3173
2010-08-10,18,20,2207
2010-08-10,18,21,784
2010-08-10,18,22,1944
2010-08-10,18,23,1633
2010-08-10,18,24,920
2010-08-10,18,25,3183
2010-08-10,18,26,1773
2010-08-10,18,27,4554
2010-08-10,18,28,304
2010-08-10,18,29,1496
2010-08-10,18,3,1206
2010-08-10,18,30,1870
2010-08-10,18,31,4267
2010-08-10,18,32,701
2010-08-10,18,4,2386
2010-08-10,18,5,935
2010-08-10,18,6,472
2010-08-10,18,7,282
2010-08-10,18,8,1024
2010-08-10,18,9,775
2010-08-10,19,1,1574
2010-08-10,19,10,1921
2010-08-10,19,11,5267
2010-08-10,19,12,1564
2010-08-10,19,13,2353
2010-08-10,19,14,956
2010-08-10,19,15,1995
2010-08-10,19,16,1641
2010-08-10,19,17,471
2010-08-10,19,18,3670
2010-08-10,19,19,1001
2010-08-10,19,2,3579
2010-08-10,19,20,2562
2010-08-10,19,21,877
2010-08-10,19,22,2183
2010-08-10,19,23,1814
2010-08-10,19,24,1007
2010-08-10,19,25,3622
2010-08-10,19,26,2003
2010-08-10,19,27,5103
2010-08-10,19,28,390
2010-08-10,19,29,1550
2010-08-10,19,3,1408
2010-08-10,19,30,2069
2010-08-10,19,31,4908
2010-08-10,19,32,758
2010-08-10,19,4,2759
2010-08-10,19,5,1041
2010-08-10,19,6,643
2010-08-10,19,7,334
2010-08-10,19,8,1232
2010-08-10,19,9,802
2010-08-10,2,11,1
2010-08-10,2,18,2
2010-08-10,2,2,2
2010-08-10,2,20,2
2010-08-10,2,27,2
2010-08-10,2,3,1
2010-08-10,2,31,1
2010-08-10,2,4,1
2010-08-10,2,6,1
2010-08-10,20,1,1682
2010-08-10,20,10,2015
2010-08-10,20,11,5758
2010-08-10,20,12,1654
2010-08-10,20,13,2559
